Instancia,Makespan Obtido,Best Known Solution,Gap,Gap (%)
ta01Jsp.psi,1503,1231,272,22.10%
ta02Jsp.psi,1481,1244,237,19.05%
ta03Jsp.psi,1478,1218,260,21.35%
ta04Jsp.psi,1548,1175,373,31.74%
ta05Jsp.psi,1625,1224,401,32.76%
ta06Jsp.psi,1492,1238,254,20.52%
ta07Jsp.psi,1447,1227,220,17.93%
ta08Jsp.psi,1397,1217,180,14.79%
ta09Jsp.psi,1579,1274,305,23.94%
ta10Jsp.psi,1528,1241,287,23.13%
ta11Jsp.psi,1840,1357,483,35.59%
ta12Jsp.psi,1790,1367,423,30.94%
ta13Jsp.psi,1754,1342,412,30.70%
ta14Jsp.psi,1638,1345,293,21.78%
ta15Jsp.psi,1740,1339,401,29.95%
ta16Jsp.psi,1658,1360,298,21.91%
ta17Jsp.psi,1997,1462,535,36.59%
ta18Jsp.psi,1854,1396,458,32.81%
ta19Jsp.psi,1742,1332,410,30.78%
ta20Jsp.psi,1693,1348,345,25.59%
ta21Jsp.psi,1999,1642,357,21.74%
ta22Jsp.psi,2129,1600,529,33.06%
ta23Jsp.psi,1929,1557,372,23.89%
ta24Jsp.psi,2017,1644,373,22.69%
ta25Jsp.psi,2045,1595,450,28.21%
ta26Jsp.psi,2053,1643,410,24.95%
ta27Jsp.psi,2224,1680,544,32.38%
ta28Jsp.psi,2130,1603,527,32.88%
ta29Jsp.psi,1897,1625,272,16.74%
ta30Jsp.psi,1966,1584,382,24.12%
ta31Jsp.psi,2221,1764,457,25.91%
ta32Jsp.psi,2367,1784,583,32.68%
ta33Jsp.psi,2353,1791,562,31.38%
ta34Jsp.psi,2320,1829,491,26.85%
ta35Jsp.psi,2407,2007,400,19.93%
ta36Jsp.psi,2379,1819,560,30.79%
ta37Jsp.psi,2289,1771,518,29.25%
ta38Jsp.psi,2133,1673,460,27.50%
ta39Jsp.psi,2530,1795,735,40.95%
ta40Jsp.psi,2272,1669,603,36.13%
ta41Jsp.psi,2643,2005,638,31.82%
ta42Jsp.psi,2761,1937,824,42.54%
ta43Jsp.psi,2666,1846,820,44.42%
ta44Jsp.psi,2772,1979,793,40.07%
ta45Jsp.psi,2704,2000,704,35.20%
ta46Jsp.psi,2755,2004,751,37.48%
ta47Jsp.psi,2566,1889,677,35.84%
ta48Jsp.psi,2573,1937,636,32.83%
ta49Jsp.psi,2723,1961,762,38.86%
ta50Jsp.psi,2627,1923,704,36.61%
ta51Jsp.psi,3669,2760,909,32.93%
ta52Jsp.psi,3527,2756,771,27.98%
ta53Jsp.psi,3454,2717,737,27.13%
ta54Jsp.psi,3300,2839,461,16.24%
ta55Jsp.psi,3544,2679,865,32.29%
ta56Jsp.psi,3643,2781,862,31.00%
ta57Jsp.psi,3456,2943,513,17.43%
ta58Jsp.psi,3488,2885,603,20.90%
ta59Jsp.psi,3465,2655,810,30.51%
ta60Jsp.psi,3140,2723,417,15.31%
ta61Jsp.psi,3730,2868,862,30.06%
ta62Jsp.psi,3959,2869,1090,37.99%
ta63Jsp.psi,3595,2755,840,30.49%
ta64Jsp.psi,3301,2702,599,22.17%
ta65Jsp.psi,3503,2725,778,28.55%
ta66Jsp.psi,3798,2845,953,33.50%
ta67Jsp.psi,3916,2825,1091,38.62%
ta68Jsp.psi,3567,2784,783,28.12%
ta69Jsp.psi,3791,3071,720,23.45%
ta70Jsp.psi,4047,2995,1052,35.13%
ta71Jsp.psi,6573,5464,1109,20.30%
ta72Jsp.psi,6151,5181,970,18.72%
ta73Jsp.psi,6781,5568,1213,21.79%
ta74Jsp.psi,6093,5339,754,14.12%
ta75Jsp.psi,6682,5392,1290,23.92%
ta76Jsp.psi,6342,5342,1000,18.72%
ta77Jsp.psi,6440,5436,1004,18.47%
ta78Jsp.psi,6360,5394,966,17.91%
ta79Jsp.psi,6138,5358,780,14.56%
ta80Jsp.psi,6194,5183,1011,19.51%
